Unnamed: 0,번호,문제,답
,1.0,"성운이 중력 수축하여 생성된 원시별의 중심에서는 핵융합이 일어난다. ( O , X )",X
,2.0,"별의 중심부에서는 중력 수축에 의해서 온도가 ( 1000만K , 1500만K ) 이상이 되면 수소 핵융합이 일어날 수 있다.",1000만
,3.0,"수소의 양이 많을수록 별의 질량은 ( 증가 , 감소 ) 한다.",증가
,4.0,"수소의 양이 많을수록 별의 크기는 ( 증가 , 감소 ) 한다.",증가
,5.0,"수소의 양이 많을수록 별의 수명은 ( 증가 , 감소 ) 한다.",감소
,6.0,"별의 질량이 태양 정도인 별은 주계열성 상태에서 탄소까지 생성된다. ( O , X )",X
,7.0,별의 질량이 태양 정도인 별의 진화 단계를 순서대로 쓰시오.,"주계열성, 적색거성"
,,,"행성상성운, "
,,,백색왜성
,8.0,별의 질량이 태양의 10배 정도인 별의 진화 단계를 순서대로 쓰시오.,"주계열성, 초거성"
,,,초신성폭발
,,,중성자별 or 블랙홀
,9.0,"주계열성 상태의 별은 크기가 ( 일정 , 증가 , 감소 )",일정
,10.0,"거성 상태의 별은 별의 크기가 주기적으로 변한다. ( O , X )",O
,11.0,"별의 질량이 태양 정도인 별은 중심부에서 핵융합을 통해 ( 수소 , 헬륨 , 리튬 , 베릴륨 , 탄소) 까지 생성된다.",탄소
,12.0,"별의 질량이 태양의 10배 정도인 별은 중심부에서 핵융합을 통해 ( 수소 , 헬륨 , 리튬 , 베릴륨 , 탄소 , 규소 , 산소 , 철) 까지 생성된다.",철
,13.0,"별의 질량이 태양의 10배 정도인 별은 진화 단계를 거쳐 ( 백색 왜성 , 중성자별 )로 진화한다.",중성자별
,14.0,"별의 질량이 태양 정도인 별은 진화 단계를 거쳐 ( 백색 왜성 , 중성자별 )로 진화한다.",백색 왜성
,15.0,"별의 질량이 태양의 10배 정도인 별 중에 무거운 별은 진화 단계를 거쳐 ( 중성자별 , 블랙홀 )로 진화한다.",블랙홀
,16.0,지구를 구성하는 원소 중 가장 많은 원소는?,철
,17.0,지각을 구성하는 원소 중 두 번째로 많은 원소는?,규소
,18.0,생명체를 구성하는 원소 중 가장 많은 원소는?,산소
,19.0,우주를 구성하는 원소 중 두 번째로 많은 원소는?,헬륨
,20.0,"태양계를 구성하는 모든 행성들은 공전 방향이 동일하다. ( O , X )",O
,21.0,"태양계는 성운이 중력 ( 수축 , 팽창 )하면서 중심부의 온도가 ",수축
,,"( 증가 , 감소 )하며 형성되었으며 , ",증가
,,"성운의 크기는 점점 ( 증가하였다 , 감소하였다 )",감소
,22.0,"지구형 행성은 태양의 ( 중력 , 자기력 )에 의해 태양의 근처에 모인 ","중력 , "
,,"( 암석질 , 기체) 물질로 구성되어 있으며 , ","암석질, "
,,"상대적으로 끓는점이 ( 높다 , 낮다)",높다
,23.0,"목성형 행성은 주로 ( 고체 , 액체 , 기체)로 구성되어 있으며, ",기체
,,"녹는점이 상대적으로 ( 높다 , 낮다 )",낮다
,24.0,"태양은 현재 ( 주계열성 , 적색거성 ) 상태로 중심부에서 ",주계열성
,,"( 수소 , 헬륨 ) 핵융합 반응이 진행되고 있다.",수소
,25.0,"태양은 진화 단계를 거쳐 결국 ( 백색 왜성 , 중성자별 , 블랙홀 ) 로 될 것이다.",백색 왜성
,26.0,"태양의 중심부에서 생성될 수 있는 원소 중 가장 무거운 원소는 ( 헬륨 , 베릴륨, 탄소 ) 이다.",탄소
,27.0,"지구의 크기는 형성 초기와 현재가 동일하다. ( O , X )",X
,28.0,"지구는 미행성체의 충돌에 의해 크기가 점점 ( 증가 , 감소 ) 하였다.",증가
,29.0,"지구는 형성 과정에서 미행성체의 충돌에 의해 온도가 ( 증가 , 감소 )하여 마그마의 바다가 되었다.",증가
,30.0,"마그마의 바다인 지구는 ( 밀도 , 끓는점 , 크기 ) 차이에 의한 핵과 맨틀의 분리가 일어났다.",밀도
,31.0,"지구는 형성 과정에서 시간이 지남에 따라 미행성체의 충돌이 ( 증가 , 감소 ) 하여 온도가 ( 증가 , 감소 )하기 시작하였으며 원시 지각이 형성 되었다.",감소
,,,감소
,32.0,"지구 형성 과정에서 온도가 감소함에 따라 대기 중의 수증기는 ( 응결 , 기화 )하여 비가 되어 내려 원시 바다를 형성하였다.",응결
,33.0,"원시 대기 중의 ( CO2 , N2 , O2 )는 비가 내리는 과정에서 빗물에 녹아 대부분 바다에 녹았다.",CO2
,34.0,원시 대기의 성분 중 현재 까지도 거의 변화가 없는 기체는?,질소 기체( N2 )
,35.0,"최초의 생명체는 ( 육지 , 바다 )에서 탄생하였으며 , ",바다
,,"광합성을 통해서 대기 중의 ( O2 , N2 )의 양을 증가시켰다.",O2
,36.0,"최초의 생명체가 광합성을 통해 대기 중 ( N2 , O2 )의 양이 증가하여 ",O2
,,"지구 대기에 ( 오존층 , 열권 )을 형성하는 원인이 되었다.",오존층
,37.0,"최초의 광합성이 가능한 생명체는 ( 녹조류 , 남조류 , 적조류 ) 이다.",남조류
